"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NWKE27YY","journalArticle","2023","Weteska, Monika; Zwolińska, Aleksandra; Pisarska-Troczyńska, Kornelia; Janc, Magdalena; Polańska, Kinga; Jerzyńska, Joanna; Jankowska, Agnieszka","Relationship between prenatal and postnatal exposure to BPA and its analogues (BPS, BPF) and allergic diseases","International Journal of Occupational Medicine and Environmental Health","","1896-494X","10.13075/ijomeh.1896.02184","","Bisphenols, endocrine disrupting chemicals, are widely used in daily life. Continued exposure during key developmental periods of life (pregnancy, infancy and early childhood) can contribute to adverse health consequences such as decreased lung function, wheezing/asthma, the occurrence of allergies or changes in immune system responses. The purpose of this review is to present the current state of knowledge on the effects of prenatal or postnatal exposure to bisphenol A (BPA), bisphenol S (BPS) and bisphenol F (BPF) on the development of allergic diseases in childhood. A com- prehensive and systematic search of PubMed, Scopus and Web of Science databases was conducted. The review is restricted to studies published since 2015, in English in peer-reviewed journals. Based on keywords, 2648 studies were identified and reviewed for eligibility. Finally, 8 epidemio- logical studies were found to be appropriate for inclusion in this publication. The data collected in this review suggests that there is an associa- tion between maternal exposure during pregnancy or childhood to BPA and the development of allergic diseases. Most studies reported positive relationships between BPA exposure and at least one of the types of allergic disease. The paucity of studies and the observed differences in findings regarding the association between prenatal/postnatal exposure to BPS and/or BPF do not allow firm conclusions to be drawn. Further research is needed to identify the vulnerable population and the mechanisms responsible for the development of undesirable health consequences. Int J Occup Med Environ Health. 2023;36(5):575-86.","2023-11-27","2026-03-11 15:47:44","2026-03-11 15:47:44","","575-586","","5","36","","Int J Occup Med Environ Health","","","","","","","","eng","","","","","PubMed","","Pedia + alergias","","","","1; 4; asthma; benzhydryl derivative; bisphenol A; bisphenol F; bisphenol S; female; human; maternal exposure; phenol derivative; pregnancy; preschool child","Female; Humans; Child, Preschool; allergic diseases; Asthma; atopic dermatitis; Benzhydryl Compounds; Bisphenol A Compounds; Bisphenol F Compounds; Bisphenol S Compounds; bisphenols; Maternal Exposure; Phenols; Pregnancy; prenatal and postnatal exposure; wheezing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ECYHZ8Q","journalArticle","2024","Evangelinakis, Nikolaos; Geladari, Eleni V.; Geladari, Charalampia V.; Kontogeorgi, Adamantia; Papaioannou, Georgios-Konstantinos; Peppa, Melpomeni; Kalantaridou, Sophia","The influence of environmental factors on premature ovarian insufficiency and ovarian aging","Maturitas","","1873-4111","10.1016/j.maturitas.2023.107871","","Premature ovarian insufficiency and ovarian aging are complex conditions that affect women's reproductive health and overall well-being. They are both characterized by hypergonadotropic hypogonadism and infertility, and together affect about 1 in 100 women by the age of 40. This review explores the influence of environmental factors on the development and progression of premature ovarian insufficiency and ovarian aging. When referring to environmental factors, we include a wide range of external agents and conditions, including chemicals, socioeconomic factors and lifestyle choices. Through a review of the literature, we attempt to highlight the link between environmental factors and ovarian health. We examine the impact of endocrine-disrupting chemicals, such as bisphenol A and phthalates, on ovarian function and investigate the mechanisms by which these chemicals can disrupt hormone signaling pathways, leading to alterations in ovarian reserve, oocyte quality, and folliculogenesis. Moreover, we explore lifestyle factors like obesity, stress, smoking and alcohol in relation to their effects on ovarian aging. Epigenetic changes may play a crucial role in the prevalence of premature ovarian insufficiency. Understanding the impact of environmental factors on premature ovarian insufficiency and ovarian aging is very important in public and clinical health contexts. By identifying risk factors, healthcare providers can develop targeted and strategic prevention and intervention plans. Furthermore, this knowledge can promote reproductive health and minimize exposure to harmful environmental agents.","2024-01","2026-03-11 15:47:44","2026-03-11 15:47:44","","107871","","","179","","Maturitas","","","","","","","","eng","","","","","PubMed","","Fertilidad + ambeinte, BPA?/EDC?","","","","Female; Humans; 3; aging; obesity; 4; 2; female; human; 4,4' isopropylidenediphenol; 5; Aging; alcohol; climate change; Climate change; early menopause; Endocrine disrupting chemicals; endocrine disruptor; environmental exposure; environmental factor; Environmental factors; epigenetics; Epigenetics; lifestyle; Menopause, Premature; oocyte quality; ovarian reserve; ovary follicle development; ovary function; phthalic acid; premature ovarian failure; Primary ovarian insufficiency; Primary Ovarian Insufficiency; regulatory mechanism; reproduction; Reproduction; Review; socioeconomics","Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H2JFAQF","journalArticle","2024","Dalamaga, Maria; Kounatidis, Dimitrios; Tsilingiris, Dimitrios; Vallianou, Natalia G.; Karampela, Irene; Psallida, Sotiria; Papavassiliou, Athanasios G.","The Role of Endocrine Disruptors Bisphenols and Phthalates in Obesity: Current Evidence, Perspectives and Controversies","International Journal of Molecular Sciences","","1422-0067","10.3390/ijms25010675","","Excess body weight constitutes one of the major health challenges for societies and healthcare systems worldwide. Besides the type of diet, calorie intake and the lack of physical exercise, recent data have highlighted a possible association between endocrine-disrupting chemicals (EDCs), such as bisphenol A, phthalates and their analogs, and obesity. EDCs represent a heterogeneous group of chemicals that may influence the hormonal regulation of body mass and adipose tissue morphology. Based on the available data from mechanistic, animal and epidemiological studies including meta-analyses, the weight of evidence points towards the contribution of EDCs to the development of obesity, associated disorders and obesity-related adipose tissue dysfunction by (1) impacting adipogenesis; (2) modulating epigenetic pathways during development, enhancing susceptibility to obesity; (3) influencing neuroendocrine signals responsible for appetite and satiety; (4) promoting a proinflammatory milieu in adipose tissue and inducing a state of chronic subclinical inflammation; (5) dysregulating gut microbiome and immune homeostasis; and (6) inducing dysfunction in thermogenic adipose tissue. Critical periods of exposure to obesogenic EDCs are the prenatal, neonatal, pubertal and reproductive periods. Interestingly, EDCs even at low doses may promote epigenetic transgenerational inheritance of adult obesity in subsequent generations. The aim of this review is to summarize the available evidence on the role of obesogenic EDCs, specifically BPA and phthalate plasticizers, in the development of obesity, taking into account in vitro, animal and epidemiologic studies; discuss mechanisms linking EDCs to obesity; analyze the effects of EDCs on obesity in critical chronic periods of exposure; and present interesting perspectives, challenges and preventive measures in this research area.","2024-01-04","2026-03-11 15:47:44","2026-03-11 15:47:44","","675","","1","25","","Int J Mol Sci","The Role of Endocrine Disruptors Bisphenols and Phthalates in Obesity","","","","","","","eng","","","","","PubMed","","Obesidad","","","","1","Female; Humans; Animals; obesity; Benzhydryl Compounds; Bisphenol A Compounds; Phenols; Pregnancy; adiposity; bisphenol; body mass index; endocrine disruptors; Endocrine Disruptors; endocrine-disrupting chemicals; Obesity; phthalate; Phthalic Acids; Weight Gain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLSBWLCL","journalArticle","2024","Hassan, Saqib; Thacharodi, Aswin; Priya, Anshu; Meenatchi, R.; Hegde, Thanushree A.; R, Thangamani; Nguyen, H. T.; Pugazhendhi, Arivalagan","Endocrine disruptors: Unravelling the link between chemical exposure and Women's reproductive health","Environmental Research","","1096-0953","10.1016/j.envres.2023.117385","","An Endocrine Disrupting Chemical (EDC) is any compound that disrupts the function of the endocrine system in humans and is ubiquitous in the environment either as a result of natural events or through anthropogenic activities. Bisphenol A, phthalates, parabens, pesticides, triclosan, polychlorinated biphenyls, and heavy metals, which are frequently found in the pharmaceutical, cosmetic, and packaging sectors, are some of the major sources of EDC pollutants. EDCs have been identified to have a deteriorating effect on the female reproductive system, as evidenced by the increasing number of reproductive disorders such as endometriosis, uterine fibroids, polycystic ovary syndrome, premature ovarian failure, menstrual irregularity, menarche, and infertility. Studying EDCs in relation to women's health is essential for understanding the complex interactions between environmental factors and health outcomes. It enables the development of strategies to mitigate risks, protect reproductive and overall health, and inform public policy decisions to safeguard women's well-being. Healthcare professionals must know the possible dangers of EDC exposure and ask about environmental exposures while evaluating patients. This may result in more precise diagnosis and personalized treatment regimens. This review summarises the existing understanding of prevalent EDCs that impact women's health and involvement in female reproductive dysfunction and underscores the need for more research. Further insights on potential mechanisms of action of EDCs on female has been emphasized in the article. We also discuss the role of nutritional intervention in reducing the effect of EDCs on women's reproductive health. EDC pollution can be further reduced by adhering to strict regulations prohibiting the release of estrogenic substances into the environment.","2024-01-15","2026-03-11 15:47:44","2026-03-11 15:47:44","","117385","","","241","","Environ Res","Endocrine disruptors","","","","","","","eng","","","","","PubMed","","Fertilidad + BPA","","","","2; 5","Female; Humans; Environmental Exposure; Reproduction; Endocrine Disruptors; Bisphenol A; Endocrine; Environmental Pollutants; Exposure; Infertility; Nutrition; Reproductive Health; Women's Health","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7UH3A7K","journalArticle","2024","Liu, Bin; Lu, Xiaoling; Jiang, Antong; Lv, Yanming; Zhang, Hongmei; Xu, Bin","Influence of maternal endocrine disrupting chemicals exposure on adverse pregnancy outcomes: A systematic review and meta-analysis","Ecotoxicology and Environmental Safety","","1090-2414","10.1016/j.ecoenv.2023.115851","","Maternal endocrine disrupting chemicals (EDCs) exposure, the common environmental pollutants, was capable of involving in adverse pregnancy outcomes. However, the evidence of their connection is not consistent. Our goal was to comprehensively explore the risk of EDCs related to adverse pregnancy outcomes. One hundred and one studies were included from two databases before 2023 to explore the association between EDCs and adverse pregnancy outcomes including miscarriage, small for gestational age (SGA), low birth weight (LBW) and preterm birth (PTB). We found that maternal PFASs exposure was positively correlated with PTB (OR:1.13, 95% CI:1.04-1.23), SGA (OR:1.10, 95% CI:1.04-1.16) and miscarriage (OR:1.09, 95% CI:1.00-1.19). The pooled estimates also showed maternal PAEs exposure was linked with PTB (OR:1.16, 95% CI:1.11-1.21), SGA (OR:1.20, 95% CI:1.07-1.35) and miscarriage (OR:1.55, 95% CI:1.33-1.81). In addition, maternal exposure to some specific class of EDCs including PFOS, MBP, MEHP, DEHP, and BPA was associated with PTB. Maternal exposure to PFOS, PFOA, PFHpA was associated with SGA. Maternal exposure to BPA was associated with LBW. Maternal exposure to MMP, MEHP, MEHHP, MEOHP, BPA was associated with miscarriage. Maternal PFASs, PAEs and BPA exposure may increase adverse pregnancy outcomes risk according to our study. However, the limited number of studies on dose-response hampered further explanation for causal association.","2024-01-15","2026-03-11 15:47:44","2026-03-11 15:47:44","","115851","","","270","","Ecotoxicol Environ Saf","Influence of maternal endocrine disrupting chemicals exposure on adverse pregnancy outcomes","","","","","","","eng","","","","","PubMed","","Embarazo+ BPA/EDC","","","","3; 2; 5","Female; Humans; Infant, Newborn; Maternal Exposure; Pregnancy; Endocrine disrupting chemicals; Endocrine Disruptors; Abortion, Spontaneous; Diethylhexyl Phthalate; Fetal Growth Retardation; Fluorocarbons; Low birth weight; Miscarriage; Premature Birth; Preterm birth; Small for gestational age","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVEQUSKL","journalArticle","2024","Guo, Jinjin; Liu, Keqin; Yang, Jixin; Su, Yanwei","The association between prenatal exposure to bisphenol A and offspring obesity: A systematic review","Environmental Pollution","","1873-6424","10.1016/j.envpol.2024.123391","","In recent years, the global prevalence of childhood overweight and obesity has surged. Bisphenol A (BPA), prevalent in the manufacture of polycarbonate plastics and epoxy resins, is associated with this escalating obesity pattern. Both early life stages and pregnancy emerge as pivotal windows of vulnerability. This review systematically evaluates human studies to clarify the nexus between prenatal BPA exposure and offspring obesity. Our extensive literature search covered databases like PubMed, Web of Science, Cochrane Library, Embase, and Scopus, encompassing articles from their inception until July 2023. We utilized the Newcastle-Ottawa Scale (NOS) to evaluate the methodological rigor of the included studies, the Oxford Center for Evidence-Based Medicine Levels of Evidence Working Group (OCEBM) table to determine the level of the evidence, and the Grades of Recommendation, Assessment, Development, and Evaluation (GRADE) guidelines to evaluate the certainty of the evidence with statistical significance. We centered on primary studies investigating the link between urinary BPA levels during pregnancy and offspring obesity. Our analysis included thirteen studies, with participant counts ranging from 173 to 1124 mother-child dyads. Among them, eight studies conclusively linked prenatal BPA exposure to increased obesity in offspring. Evaluation metrics for the effect of prenatal BPA on offspring obesity comprised BMI z-score, waist circumference, overweight/obesity classification, aggregate skinfold thickness, body fat percentage, and more. Present findings indicate that prenatal BPA exposure amplifies offspring obesity risk, with potential effect variations by age and gender. Therefore, further research is needed to explore the causal link between prenatal BPA exposure and obesity at different developmental stages and genders, and to elucidate the underlying mechanisms.","2024-03-01","2026-03-11 15:47:44","2026-03-11 15:47:44","","123391","","","344","","Environ Pollut","The association between prenatal exposure to bisphenol A and offspring obesity","","","","","","Barking, Essex : 1987","eng","","","","","PubMed","","Obesidad","","","","1","Female; Humans; Systematic review; Child; Benzhydryl Compounds; Bisphenol A Compounds; Maternal Exposure; Phenols; Pregnancy; Obesity; BMI z-score; BPA; Maternal exposure; Pediatric Obesity; Prenatal Exposure Delayed Effects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4LQY7SW","journalArticle","2024","Chandrakanth, Akshaya; Firdous, Sana; Vasantharekha, Ramasamy; Santosh, Winkins; Seetharaman, Barathi","Exploring the Effects of Endocrine-Disrupting Chemicals and miRNA Expression in the Pathogenesis of Endometriosis by Unveiling the Pathways: a Systematic Review","Reproductive Sciences","","1933-7205","10.1007/s43032-023-01412-8","","Endometriosis, characterized by endometrial-like mucosal tissue outside the uterine cavity, is a reproductive disorder afflicting about 10% of women within the reproductive age. The pathogenesis of endometriosis has been attributed to factors like genetics, environmental particles, and hormones. A comprehensive review of studies from July 2010 to July 2023 across multiple databases was done to aid in a better understanding of the same. The investigation focused on studies delineating the correlation between endocrine disruptors, microRNAs, and endometriosis. To optimize the search scope, keywords and subject headings were used as search terms. Then, two authors rigorously assessed studies using criteria, selecting 27 studies from various databases. Notably, dioxins, organochlorine pesticides, and polychlorinated biphenyls exhibited a solid connection for endometriosis, while bisphenol A and phthalates yielded conflicting results. The heightened presence of bisphenol A, polychlorinated biphenyls, and phthalates was linked to altered gene expression, including genes like AKR1B10, AKR1C3, and FAM49B. MicroRNAs like miRNA-31, miRNA-144, and miRNA-145 emerged as vital factors in the onset of endometriosis and progression. Furthermore, elevated expression of miR-1304-3p, miR-544, and miR-3684 and reduced expression of miR-3935 and miR-4427 exert substantial influence on signaling pathways like NF-κB, MAPK, and Wnt/β-catenin. Currently, literature shows an independent link between endocrine disruptor exposure and endometriosis and between microRNA dysregulation and endometriosis. However, research lacks the combination of all three factors. The review delves into the effects of endocrine disruptors and microRNAs on the pathogenesis of endometriosis to improve our understanding of the disorder and in finding therapies.","2024-04","2026-03-11 15:47:44","2026-03-11 15:47:44","","932-941","","4","31","","Reprod Sci","Exploring the Effects of Endocrine-Disrupting Chemicals and miRNA Expression in the Pathogenesis of Endometriosis by Unveiling the Pathways","","","","","","Thousand Oaks, Calif.","eng","","","","","PubMed","","Endometriosis + BPA","","","","Female; Humans; review; 4; 2; Benzhydryl Compounds; benzhydryl derivative; bisphenol A; female; human; phenol derivative; Phenols; 4,4' isopropylidenediphenol; 5; endocrine disruptor; phthalic acid; Review; Endocrine Disruptors; Bisphenol A; Environmental Pollutants; adult; beta catenin; cell cycle; clinical article; cyclin B1; cytochrome P450 family 19; data extraction; deep endometriosis; differential gene expression; dioxin; Dioxins; ectopic endometrium; Endocrine-disrupting chemicals; endometriosis; Endometriosis; eutopic endometrium; extracellular matrix; gene expression; genetics; homeobox protein Hox-A10; interleukin 12p40; interleukin 1beta; kidney concentrating capacity; leukocyte elastase; M1 macrophage; MAPK signaling; metabolism; microarray analysis; microRNA; microRNA 126; microRNA 145; microRNA 31; MicroRNAs; MIRN144 microRNA, human; MIRN145 microRNA, human; miRNA; mitochondrial membrane potential; organochlorine pesticide; ovarian endometriosis; pathogenesis; persistent organic pollutant; Phthalates; pollutant; polybrominated diphenyl ether; polychlorinated biphenyl; Polychlorinated Biphenyls; protein expression; real time polymerase chain reaction; signal transduction; steroidogenesis; steroidogenic acute regulatory protein; systematic review; uterus cavity; vasculotropin","Bisphenol A Compounds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8V2MEA2","journalArticle","2024","Urbanetz, Lorena Ana Mercedes Lara; Soares-Junior, José Maria; Dos Santos Simões, Ricardo; Maciel, Gustavo Arantes Rosa; Baracat, Maria Candida Pinheiro; Baracat, Edmund Chada","Bisphenol A and polycystic ovary syndrome in human: A systematic review","International Journal of Gynaecology and Obstetrics: The Official Organ of the International Federation of Gynaecology and Obstetrics","","1879-3479","10.1002/ijgo.15349","","BACKGROUND: Polycystic ovary syndrome (PCOS) is an endocrine disorder characterized by anovulation, hyperandrogenism, and polycystic ovarian morphology. Its etiology is uncertain and one of the hypotheses is that environmental factors, such as the bisphenol A (BPA) endocrine disruptor, may be involved. OBJECTIVE: To investigate the association between exposure to BPA and PCOS. SEARCH STRATEGY: Research was conducted focusing on studies published in English, Portuguese, and Spanish from January 2001 to March 2023 and available in Embase, Medline/PubMed, Rima, Lilacs, Scielo, Google academic, and SCI databases. SELECTION CRITERIA: Studies in humans that evaluated the association between exposure to BPA and a diagnosis of PCOS. DATA COLLECTION AND ANALYSIS: Following PRISMA guidelines, study characteristics and relevant data were extracted. MAIN RESULTS: Selection of 15 case-control and 7 cross-sectional studies with a total of 1682 PCOS patients. The studies were carried out in China, Poland, Turkey, Japan, Greece, Italy, the USA, Iran, Iraq, Egypt, India, Czechia, and Slovakia. A positive relationship between exposure to BPA and PCOS was described in19 studies (1391 [82.70%] of the PCOS patients). The fluids used in the studies were serum, urine, plasma, and follicular fluid. BPA was measured by ELISA and by chromatography (HPLC, HPLC-MS/MS, GC-MS, and GC-MS/MS). Diagnosis of PCOS used Rotterdam criteria in 15, NIH 1999 in 3, AE&PCOS Society in 2, similar to the Rotterdam criteria in 1, and criteria not informed in 1. Androgens were measured in 16 studies; in 12, hyperandrogenism was positively associated with BPA. BPA level was related to body mass index (BMI) in studies. In 15 studies independently of BMI, women with PCOS had higher BPA levels. Carbohydrate metabolism disorders were evaluated in 12 studies and in 6 a positive correlation was found with BPA levels. Lipid profile was evaluated in seven studies and in only one the correlation between lipid profile and BPA levels was present. CONCLUSIONS: Exposure to BPA is positively associated with PCOS, mainly with the hyperandrogenism.","2024-07","2026-03-11 15:47:44","2026-03-11 15:47:44","","190-203","","1","166","","Int J Gynaecol Obstet","Bisphenol A and polycystic ovary syndrome in human","","","","","","","eng","","","","","PubMed","","PCOS + BPA","","","","Female; Humans; review; Greece; Environmental Exposure; obesity; 4; 2; Benzhydryl Compounds; benzhydryl derivative; bisphenol A; female; human; phenol derivative; Phenols; 4,4' isopropylidenediphenol; 5; endocrine disruptor; environmental exposure; environmental factor; Review; endocrine disruptors; Endocrine Disruptors; Bisphenol A; systematic review; adverse event; androgen; anovulation; bibliographic database; body mass; carbohydrate metabolism; disease association; Egypt; ELISA kit; Embase; endocrine disease; enzyme linked immunosorbent assay; follicle fluid; gas chromatography; high performance liquid chromatography; hyperandrogenism; insulin resistance; Iran; Iraq; Italy; Japan; lilacs; lipid fingerprinting; liquid chromatography-mass spectrometry; mass fragmentography; Medline; metabolic disorder; outcome assessment; ovary follicle fluid; ovary polycystic disease; patient selection; Poland; polycystic ovary syndrome; Polycystic Ovary Syndrome; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; rima; risk assessment; scielo; search engine; Slovakia; urine","Bisphenol A Compounds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFIINN2Q","journalArticle","2024","Sánchez, Rebeca Mira; Bermeo Losada, Juan Felipe; Marín Martínez, Juan Antonio","The research landscape concerning environmental factors in neurodevelopmental disorders: Endocrine disrupters and pesticides-A review","Frontiers in Neuroendocrinology","","1095-6808","10.1016/j.yfrne.2024.101132","","In recent years, environmental epidemiology and toxicology have seen a growing interest in the environmental factors that contribute to the increased prevalence of neurodevelopmental disorders, with the purpose of establishing appropriate prevention strategies. A literature review was performed, and 192 articles covering the topic of endocrine disruptors and neurodevelopmental disorders were found, focusing on polychlorinated biphenyls, polybrominated diphenyl ethers, bisphenol A, and pesticides. This study contributes to analyzing their effect on the molecular mechanism in maternal and infant thyroid function, essential for infant neurodevelopment, and whose alteration has been associated with various neurodevelopmental disorders. The results provide scientific evidence of the association that exists between the environmental neurotoxins and various neurodevelopmental disorders. In addition, other possible molecular mechanisms by which pesticides and endocrine disruptors may be associated with neurodevelopmental disorders are being discussed.","2024-04","2026-03-11 15:47:44","2026-03-11 15:47:44","","101132","","","73","","Front Neuroendocrinol","The research landscape concerning environmental factors in neurodevelopmental disorders","","","","","","","eng","","","","","PubMed","","No gine","","","","1","Female; Humans; Animals; Environmental Exposure; Benzhydryl Compounds; Bisphenol A Compounds; Phenols; Pregnancy; Environmental factors; Endocrine Disruptors; Environmental Pollutants; Polychlorinated Biphenyls; Comprehensive review; Endocrine disrupter; Halogenated Diphenyl Ethers; Neurodevelopmental disorders; Neurodevelopmental Disorders; Pesticides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLDZ54FM","journalArticle","2024","Chaichian, Shahla; Khodabandehloo, Fatemeh; Haghighi, Ladan; Govahi, Azam; Mehdizadeh, Mehdi; Ajdary, Marziyeh; Varma, Rajender S.","Toxicological Impact of Bisphenol A on Females' Reproductive System: Review Based on Experimental and Epidemiological Studies","Reproductive Sciences","","1933-7205","10.1007/s43032-024-01521-y","","The study encompassing research papers documented in the last two decades pertaining to the possible influence of bisphenol A (BPA) on the fertility of females are appraised with emphasis on the influence of BPA in reproductive organs (uterus and ovaries) and pregnancy outcomes including discussion on the reproductive process (implantation, estrous cycle, hormone secretion); outcomes reveal a connection amongst BPA and female infertility. Ovary, uterus, and its shape as well as function can alter a person's ability to become pregnant by influencing the hypothalamus-pituitary axis in the ovarian model. Additionally, implantation and the estrous cycle may be affected by BPA. However, more research is warranted to comprehend the underlying action mechanisms and to promptly identify any imminent reproductive harm.","2024-07","2026-03-11 15:47:44","2026-03-11 15:47:44","","1781-1799","","7","31","","Reprod Sci","Toxicological Impact of Bisphenol A on Females' Reproductive System","","","","","","Thousand Oaks, Calif.","eng","","","","","PubMed","","Fertilidad  + BPA.","","","","2; 5","Female; Humans; Animals; Benzhydryl Compounds; Bisphenol A Compounds; Phenols; Pregnancy; Reproduction; Endocrine Disruptors; Bisphenol A; Infertility; Fertility; Genitalia, Female; Infertility, Female; Ovary; Reproductive organs; Uterus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
